Tenacious-Bench SFT Training Run
Model: unsloth/Qwen3-4B-bnb-4bit
epochs=3 | lr=1e-4 | batch=2 | grad_accum=4 | r=8 | dropout=0.05 | weight_decay=0.01 | seed=42
Final train loss: 0.2883
Best eval loss  : 0.0213
Best checkpoint : outputs/checkpoint-441
Total steps: 441
Train runtime: 5871.1s

Step-by-step log:
{"loss": 3.4040122985839845, "grad_norm": 1.8558484315872192, "learning_rate": 2e-05, "epoch": 0.06825938566552901, "step": 10}
{"loss": 3.0245628356933594, "grad_norm": 0.9812076091766357, "learning_rate": 4.222222222222222e-05, "epoch": 0.13651877133105803, "step": 20}
{"loss": 2.4665002822875977, "grad_norm": 0.9084916114807129, "learning_rate": 6.444444444444446e-05, "epoch": 0.20477815699658702, "step": 30}
{"loss": 1.6436517715454102, "grad_norm": 1.0663442611694336, "learning_rate": 8.666666666666667e-05, "epoch": 0.27303754266211605, "step": 40}
{"loss": 0.6203995227813721, "grad_norm": 0.7872282266616821, "learning_rate": 9.8989898989899e-05, "epoch": 0.3412969283276451, "step": 50}
{"loss": 0.23372986316680908, "grad_norm": 0.4236099421977997, "learning_rate": 9.646464646464647e-05, "epoch": 0.40955631399317405, "step": 60}
{"loss": 0.16339509487152098, "grad_norm": 0.3233978748321533, "learning_rate": 9.393939393939395e-05, "epoch": 0.4778156996587031, "step": 70}
{"loss": 0.13970831632614136, "grad_norm": 0.42935118079185486, "learning_rate": 9.141414141414141e-05, "epoch": 0.5460750853242321, "step": 80}
{"loss": 0.0989758014678955, "grad_norm": 0.3951001465320587, "learning_rate": 8.888888888888889e-05, "epoch": 0.6143344709897611, "step": 90}
{"loss": 0.08479069471359253, "grad_norm": 0.5247387290000916, "learning_rate": 8.636363636363637e-05, "epoch": 0.6825938566552902, "step": 100}
{"loss": 0.07120131850242614, "grad_norm": 0.499767929315567, "learning_rate": 8.383838383838384e-05, "epoch": 0.7508532423208191, "step": 110}
{"loss": 0.059007453918457034, "grad_norm": 0.41805386543273926, "learning_rate": 8.131313131313132e-05, "epoch": 0.8191126279863481, "step": 120}
{"loss": 0.05238254070281982, "grad_norm": 0.33146369457244873, "learning_rate": 7.878787878787879e-05, "epoch": 0.8873720136518771, "step": 130}
{"loss": 0.045929497480392455, "grad_norm": 0.3723934590816498, "learning_rate": 7.626262626262627e-05, "epoch": 0.9556313993174061, "step": 140}
{"loss": 0.040795764327049254, "grad_norm": 0.35633498430252075, "learning_rate": 7.373737373737373e-05, "epoch": 1.0204778156996588, "step": 150}
{"eval_loss": 0.04128871113061905, "eval_runtime": 132.1542, "eval_samples_per_second": 2.028, "eval_steps_per_second": 0.507, "epoch": 1.0204778156996588, "step": 150}
{"loss": 0.0391232430934906, "grad_norm": 0.35531631112098694, "learning_rate": 7.121212121212121e-05, "epoch": 1.0887372013651877, "step": 160}
{"loss": 0.034428706765174864, "grad_norm": 0.330703467130661, "learning_rate": 6.86868686868687e-05, "epoch": 1.1569965870307168, "step": 170}
{"loss": 0.0349362850189209, "grad_norm": 0.3112103343009949, "learning_rate": 6.616161616161617e-05, "epoch": 1.2252559726962458, "step": 180}
{"loss": 0.025620681047439576, "grad_norm": 0.3617130219936371, "learning_rate": 6.363636363636364e-05, "epoch": 1.2935153583617747, "step": 190}
{"loss": 0.02818261981010437, "grad_norm": 0.35027429461479187, "learning_rate": 6.111111111111112e-05, "epoch": 1.3617747440273038, "step": 200}
{"loss": 0.02637370228767395, "grad_norm": 0.3363739252090454, "learning_rate": 5.858585858585859e-05, "epoch": 1.4300341296928327, "step": 210}
{"loss": 0.029427728056907652, "grad_norm": 0.2717670500278473, "learning_rate": 5.606060606060606e-05, "epoch": 1.4982935153583616, "step": 220}
{"loss": 0.023644693195819855, "grad_norm": 0.39718109369277954, "learning_rate": 5.353535353535354e-05, "epoch": 1.5665529010238908, "step": 230}
{"loss": 0.023280692100524903, "grad_norm": 0.2750445306301117, "learning_rate": 5.101010101010101e-05, "epoch": 1.63481228668942, "step": 240}
{"loss": 0.02009870558977127, "grad_norm": 0.194056436419487, "learning_rate": 4.848484848484849e-05, "epoch": 1.7030716723549488, "step": 250}
{"loss": 0.020517085492610932, "grad_norm": 0.32849735021591187, "learning_rate": 4.595959595959596e-05, "epoch": 1.7713310580204777, "step": 260}
{"loss": 0.017709454894065856, "grad_norm": 0.21916590631008148, "learning_rate": 4.343434343434344e-05, "epoch": 1.8395904436860069, "step": 270}
{"loss": 0.016471531987190247, "grad_norm": 0.21631254255771637, "learning_rate": 4.0909090909090915e-05, "epoch": 1.9078498293515358, "step": 280}
{"loss": 0.01683877408504486, "grad_norm": 0.2615457773208618, "learning_rate": 3.838383838383838e-05, "epoch": 1.9761092150170647, "step": 290}
{"loss": 0.01714312136173248, "grad_norm": 0.28138062357902527, "learning_rate": 3.5858585858585855e-05, "epoch": 2.0409556313993176, "step": 300}
{"eval_loss": 0.023230787366628647, "eval_runtime": 130.9685, "eval_samples_per_second": 2.046, "eval_steps_per_second": 0.512, "epoch": 2.0409556313993176, "step": 300}
{"loss": 0.014259745180606843, "grad_norm": 0.1963382512331009, "learning_rate": 3.3333333333333335e-05, "epoch": 2.1092150170648463, "step": 310}
{"loss": 0.015059846639633178, "grad_norm": 0.213851198554039, "learning_rate": 3.080808080808081e-05, "epoch": 2.1774744027303754, "step": 320}
{"loss": 0.014914032816886903, "grad_norm": 0.17147690057754517, "learning_rate": 2.8282828282828282e-05, "epoch": 2.2457337883959045, "step": 330}
{"loss": 0.013518130779266358, "grad_norm": 0.24154451489448547, "learning_rate": 2.575757575757576e-05, "epoch": 2.3139931740614337, "step": 340}
{"loss": 0.015134850144386291, "grad_norm": 0.27359917759895325, "learning_rate": 2.3232323232323232e-05, "epoch": 2.3822525597269624, "step": 350}
{"loss": 0.014385272562503815, "grad_norm": 0.19890297949314117, "learning_rate": 2.070707070707071e-05, "epoch": 2.4505119453924915, "step": 360}
{"loss": 0.012957663834095001, "grad_norm": 0.16373394429683685, "learning_rate": 1.8181818181818182e-05, "epoch": 2.51877133105802, "step": 370}
{"loss": 0.013111835718154908, "grad_norm": 0.21583916246891022, "learning_rate": 1.565656565656566e-05, "epoch": 2.5870307167235493, "step": 380}
{"loss": 0.012961898744106293, "grad_norm": 0.20285190641880035, "learning_rate": 1.3131313131313134e-05, "epoch": 2.6552901023890785, "step": 390}
{"loss": 0.01201389655470848, "grad_norm": 0.1580900251865387, "learning_rate": 1.0606060606060607e-05, "epoch": 2.7235494880546076, "step": 400}
{"loss": 0.012726515531539917, "grad_norm": 0.26188021898269653, "learning_rate": 8.080808080808082e-06, "epoch": 2.7918088737201368, "step": 410}
{"loss": 0.013316607475280762, "grad_norm": 0.19520996510982513, "learning_rate": 5.555555555555556e-06, "epoch": 2.8600682593856654, "step": 420}
{"loss": 0.011739777028560638, "grad_norm": 0.19425520300865173, "learning_rate": 3.0303030303030305e-06, "epoch": 2.9283276450511946, "step": 430}
{"loss": 0.011932075023651123, "grad_norm": 0.18581748008728027, "learning_rate": 5.050505050505052e-07, "epoch": 2.9965870307167233, "step": 440}
{"eval_loss": 0.021328307688236237, "eval_runtime": 130.8216, "eval_samples_per_second": 2.049, "eval_steps_per_second": 0.512, "epoch": 3.0, "step": 441}
{"train_runtime": 5871.0739, "train_samples_per_second": 0.599, "train_steps_per_second": 0.075, "total_flos": 6.160984247570227e+16, "train_loss": 0.28825950074535445, "epoch": 3.0, "step": 441}
